API, >>>
Java, >>>
Just,Chỉ
Monroe, >>>
To,Đến
activities,hoạt động
actual,thực tế
actually,thực ra
another,khác
attached,đính kèm
board,bảng
book,sách
bought,đã mua
buffer,đệm
burned,đốt cháy
cases,các trường hợp
change,thay đổi
classes,các lớp học
combine,phối hợp
combined,kết hợp
completely,hoàn toàn
completion,hoàn thành
complex,phức tạp
concatenate,ghép lại
console,bàn điều khiển
convert,đổi
coring, >>>
create,tạo nên
deep,sâu
diagrams,sơ đồ
dig,đào
discussing,thảo luận
done,làm xong
dot,dấu chấm
element,thành phần
elements,các yếu tố
evens, >>>
every,mỗi
explained,giải thích
filtering,lọc
goes,đi
handy,tiện dụng
hey,Chào
human,Nhân loại
implementations,triển khai
information,thông tin
involved,bị liên lụy
issues,vấn đề
kinds,các loại
layer,lớp
least,ít nhất
line,hàng
lots,rất nhiều
map,bản đồ
marble,đá hoa
marbles,viên bi
matter,vấn đề
max,tối đa
middle,ở giữa
might,có thể
module,mô-đun
multiple,bội số
operation,hoạt động
operations,hoạt động
operator,nhà điều hành
operators,các nhà khai thác
output,đầu ra
passed,thông qua
passing,đi qua
performing,biểu diễn
pictorial,hình ảnh
pipeline,đường ống
player,người chơi
point,điểm
printing,in ấn
program,chương trình
pulling,đang kéo
quick,nhanh chóng
raw,thô
reached,đạt tới
react,phản ứng
reality,thực tế
reboot,khởi động lại
refer,tham khảo
remember,nhớ lại
represent,đại diện
representation,đại diện
restaurant,nhà hàng
result,kết quả
running,đang chạy
saw,cái cưa
sectorial,phân ngành
similar,giống
size,kích thước
smart,thông minh
springboard,bàn đạp
string,chuỗi
subscript,chỉ số dưới
summarize,tóm tắt
theory,học thuyết
transform,biến đổi
transformation,sự biến đổi
transforming,biến hình
upends,tăng
using,sử dụng
vertical,theo chiều dọc
video, >>>
ways,cách
whenever,bất cứ khi nào
zero,số không
