After,Sau
All,Tất cả
As,Như
Basically,Về cơ bản
Before,Trước
By,Bởi
Do,Làm
Engineers,Kỹ sư
He,Anh ta
Hi,Chào
If,Nếu
Let,Để cho
Likewise,Tương tự như vậy
Next,Kế tiếp
OK,đồng ý
Publishers,Nhà xuất bản
Thank,Cảm tạ
This,Điều này
Those,Những, cái đó
Who,WHO
You,Bạn
able,có thể
abstraction,sự trừu tượng
accepts,chấp nhận
already,đã sẵn sàng
amount,số tiền
anything,bất cứ thứ gì
around,xung quanh
arrow,mũi tên
asking,hỏi
back,trở lại
base,căn cứ
became,đã trở thành
bend,bẻ cong
blink,chớp mắt
bottom,đáy
called,gọi là
cancel,hủy bỏ
canceling,hủy bỏ
case,trường hợp
code,mã
combination,sự phối hợp
come,đến
companies,các công ty
compatibility,khả năng tương thích
concept,Ý tưởng
concepts,các khái niệm
conforming,sự phù hợp
consists,bao gồm
consumer,khách hàng
control,điều khiển
council,hội đồng
covering,bao che
created,tạo
creators,người sáng tạo
data,dữ liệu
database,cơ sở dữ liệu
declarations,tuyên bố
default,mặc định
diagram,biểu đồ
discussed,thảo luận
draw,vẽ tranh
driven,lái xe
editor,biên tập viên
encapsulation,sự đóng gói
end,kết thúc
error,lỗi
estimate,ước tính
everyone,tất cả mọi người
examples,ví dụ
external,bên ngoài
finally,cuối cùng
find,tìm thấy
floor,sàn nhà
flow,lưu lượng
flowing,chảy
followed,theo sau
following,tiếp theo
formats,định dạng
four,bốn
generally,nói chung là
happened,đã xảy ra
happens,xảy ra
head,cái đầu
highlighting,làm nổi bật
honest,thật thà
hundred,trăm
inheritance,di sản
input,đầu vào
instance,ví dụ
interface,giao diện
interfaces,giao diện
intro,phần giới thiệu
invoke,cầu khẩn
items,mặt hàng
kit,bộ dụng cụ
let,để cho
libraries,thư viện
library,thư viện
limited,hạn chế
little,ít
making,chế tạo
matching,phù hợp
means,có nghĩa
mentioned,đề cập
methods,phương pháp
model,mô hình
named,được đặt tên
needs,nhu cầu
new,Mới
next,kế tiếp
nothing,không có gì
number,con số
numbers,con số
object,vật
option,Lựa chọn
oriented,định hướng
otherwise,nếu không thì
parameter,tham số
parts,các bộ phận
pass,vượt qua
pivotal,then chốt
polymorphism,đa hình
pops,bật lên
pressure,sức ép
previous,Trước
principles,Nguyên tắc
prior,trước
processing,Chế biến
processor,bộ xử lý
producer,người sản xuất
producers,người sản xuất
programming,lập trình
publish,công bố
publisher,nhà xuất bản
publishers,nhà xuất bản
purpose,mục đích
put,đặt
quickly,Mau
rate,tỷ lệ
reactive,phản ứng
reactor,lò phản ứng
read,đọc
recall,Gợi lại
received,nhận
receiving,nhận
recording,ghi âm
registers,đăng ký
relate,liên quan
remote,Xa xôi
representing,đại diện
represents,đại diện
requesting,yêu cầu
row,hàng
rules,quy tắc
say,Nói
scenarios,các tình huống
search,Tìm kiếm
see,xem
seen,đã xem
send,gửi đi
sense,giác quan
sent,gởi
show,chỉ
signal,tín hiệu
significance,ý nghĩa
simple,đơn giản
slide,cầu trượt
source,nguồn
specific,riêng
specification,sự chỉ rõ
start,khởi đầu
story,câu chuyện
stream,suối
strip,dải
struggling,đấu tranh
subscribe,đăng ký
subscriber,người đăng kí
subscription,đăng ký
successful,thành công
sure,chắc chắn rồi
synonymous,đồng nghĩa
talk,nói chuyện
talked,đã nói chuyện
together,cùng với nhau
top,hàng đầu
total,toàn bộ
try,thử
tutorial,hướng dẫn
types,các loại
unsubscribe,hủy đăng ký
use,sử dụng
value,giá trị
wait,chờ đợi
watch,đồng hồ đeo tay
way,đường
whatever,bất cứ điều gì
whole,toàn bộ
wind,gió
workflow,quy trình làm việc
worry,lo
would,sẽ
write,viết
writing,viết
year,năm
