Argentina,Argentina.
Australia,Châu Úc
Employees,Nhân viên
ID,TÔI
Million,Triệu
academic,thuộc về lý thuyết
access,truy cập
accidentally,tình cờ
accounts,tài khoản
addresses,địa chỉ
allowed,được phép
bank,ngân hàng
birth,Sinh
capture,chiếm lấy
computers,máy vi tính
could,có thể
coworker,đồng nghiệp
criminals,tội phạm
dates,ngày
denied,phủ định
details,chi tiết
email,e-mail
emergency,trường hợp khẩn cấp
employees,nhân viên
entered,đã vào
files,các tập tin
gave,đã cho
global,toàn cầu
hacker,Tin tặc
hackers,tin tặc
hours,giờ
installing,cài đặt
internet,Internet
largest,lớn nhất
locked,bị khóa
login,đăng nhập
made-up,trang điểm
media,phương tiện truyền thông
names,những cái tên
non-profit,phi lợi nhuận
paid,đã thanh toán
partnering,hợp tác
password,mật khẩu
payroll,lương bổng
platform,nền tảng
ransom,tiền chuộc
records,Hồ sơ
social,xã hội
stole,ăn trộm
tax,Thuế
theme,chủ đề
thinking,tư duy
tricked,bị lừa
used,đã sử dụng
username,tên tài khoản
via,thông qua
