TOIECARUNIT03,Toiec A Reading Unit 3
considerable;đáng kể;adj
reduction;sự giảm;N
Productivity;năng suất;N
measure /ˈmeʒ.ɚ/;đong đo;v
convention;hội nghị;N
itinerary;hành trình, lộ trình;n
circuit;chu vi, đường vòng quanh;N
pattern;khuôn mẫu / họa tiết;n
courtesy;sự lịch sự, nhã nhặn;n
subscriber;người đăng ký dài hạn;n
assignment;sự giao việc, sự phân công;n
credit;khoản vay;n
certificate;giấy chứng nhận;n
generator;máy phát điện;n
deny;từ chối;v
access;truy cập;v
procedure;quy trình;n
direction;phương hướng;n
receipt;hóa đơn;n
negation;sự phủ định;n
rejection;sự từ chối;n
submission;sự phục tùng;n
innovative;sáng tạo, cách tân;adj
elaborate;kỹ lưỡng;adj
arbitrary;chuyên quyền, độc đoán;adj
generous;hào phóng, rộng lượng;adj
encourage;khuyến khích;undefined
Be surprised at;Ngạc nhiên về;undefined
gradually;dần dần, từ từ;undefined
securely;an toàn;undefined
water;tưới cây, tưới nước;undefined
revision;sự xem lại, sự ôn lại;undefined
divide;chia, phân chia;undefined
occur;xảy ra;undefined
retire;nghỉ hưu;undefined
expire;hết hạn;undefined
unfortunately;không may là;undefined
grant;ban cho, cấp cho;undefined
surgical;thuộc phẫu thuật;undefined
assign;phân công, giao việc;undefined
commuter;người đi làm;undefined
Be satisfied with;Hài lòng về;undefined
Be interested in;Hứng thú với;undefined
Be concerned about;Lo lắng về;undefined
Be known for;Được biết đến với;undefined
Be equipped with;Được trang bị với;undefined
Be involved in;Liên quan đến;undefined
temporary worker;nhân viên thời vụ;undefined
tuition;học phí;undefined
outstanding;nổi bật;undefined
lighter;bật lửa;undefined
permit;cho phép;undefined
sharp;sắc, nhọn;undefined
screening;kiểm tra;undefined
completely;hoàn toàn;undefined
dramatically;đột ngột;undefined
liquid;chất lỏng;undefined
restrict;hạn chế;undefined
comply with;tuân thủ;undefined
