Hi everyone.,Chào mọi người.
Welcome back to this tutorial.,Chào mừng trở lại hướng dẫn này.
In this material we'll talk about reactor stream's specification.,Trong tài liệu này, chúng ta sẽ nói về đặc điểm kỹ thuật của dòng lò phản ứng.
What is a reactor stream in the first place.,Dòng lò phản ứng ở vị trí đầu tiên là gì.
In the previous tutorial we talked about a data flowing as an event driven stream meaning requesting for data and the data flowing to the application as an event driven stream which is otherwise called US reactor stream.,Trong hướng dẫn trước, chúng ta đã nói về một luồng dữ liệu dưới dạng luồng hướng sự kiện có nghĩa là yêu cầu dữ liệu và dữ liệu chuyển đến ứng dụng dưới dạng luồng hướng sự kiện mà còn được gọi là luồng lò phản ứng Hoa Kỳ.
So now we know what is the reactor stream.,Vì vậy, bây giờ chúng ta biết dòng lò phản ứng là gì.
What is a reactor stream specification a reactive stream specification is nothing but the specification are rules for a reactor stream to follow.,Thông số kỹ thuật của dòng lò phản ứng là gì, đặc điểm kỹ thuật của dòng phản ứng không là gì ngoài đặc điểm kỹ thuật là các quy tắc để một dòng lò phản ứng tuân theo.
If you think about object oriented programming we have principles such as inheritance encapsulation polymorphism and abstraction whatever code that we write in object oriented programming should relate to these concepts.,Nếu bạn nghĩ về lập trình hướng đối tượng, chúng ta có các nguyên tắc như đa hình đóng gói kế thừa và trừu tượng hóa bất kỳ mã nào chúng ta viết trong lập trình hướng đối tượng đều liên quan đến những khái niệm này.
Likewise this specification has rules on how the reactive programming code that we write should follow.,Tương tự như vậy, đặc tả này có các quy tắc về cách mã lập trình phản ứng mà chúng ta viết phải tuân theo.
Who created this specification.,Ai đã tạo ra đặc điểm kỹ thuật này.
Engineers from major companies like pivotal Netflix light bend and Twitter and draw got together and created the reactive stream specification.,Các kỹ sư từ các công ty lớn như xoay chiều ánh sáng Netflix và Twitter và vẽ đã cùng nhau tạo ra đặc tả luồng phản ứng.
So what does the reactor's stream's specification have the specification is very simple and it has four interfaces which are named as publisher subscriber subscription and processor.,Vì vậy, đặc điểm kỹ thuật của luồng của lò phản ứng có đặc điểm kỹ thuật rất đơn giản và nó có bốn giao diện được đặt tên là bộ xử lý và thuê bao đăng ký của nhà xuất bản.
All of these interfaces talk to each other in order for the whole reactor stream to flow.,Tất cả các giao diện này nói chuyện với nhau để cho toàn bộ dòng lò phản ứng chảy.
