An,An.
Black,Đen
Borglum,Borglum.
Dakota,Dakota.
French,người Pháp
Hills,Những ngọn đồi
His,Của anh ấy
Idaho,Idaho.
Jefferson,Jefferson.
John,
Lincoln,Lincoln.
Mount,Gắn kết
Nature,Thiên nhiên
Paris,Paris.
Rodin,Rodin.
Roosevelt,Roosevelt.
Rushmore,Rushmore.
States,Những trạng thái
Though,Tuy nhiên
United,Hoa
Was,Đã
Washington,Washington.
age,tuổi tác
almost,hầu hết
although,Mặc du
asserted,quả quyết
befriended,kết bạn
break,phá vỡ
bureaucracy,quan liêu
caring,quan tâm
carved,chạm khắc
commission,Uỷ ban
countenances,phản công
crack,vết nứt
creating,tạo ra
de,từ
dealing,xử lý
death,tử vong
died,chết
dynamited,năng động
engendered,sinh ra
enormity,sự to lớn
famous,nổi danh
features,đặc trưng
federal,liên bang
financing,tài trợ
finished,đã kết thúc
fissure,khe nứt
fourteen,mười bốn
granite,đá hoa cương
granted,được cấp
involve,liên quan
known,đã biết
la,các
large,lớn
lifetime,cả đời
massive,to lớn
moved,di chuyển
national,Quốc gia
obstacles,chướng ngại vật
predicated,dự đoán
presidents,tổng thống
problems,các vấn đề
sculptor,nhà điêu khắc
sculpture,điêu khắc
side,bên
sixty,sáu mươi
started,đã bắt đầu
stone,cục đá
studied,đã học
treasure,kho báu
undaunted,không nản lòng
uneventful,không bình thường
visionary,nhìn xa trông rộng
well-known,nổi tiếng
within,trong
worked,đã làm việc
youth,thiếu niên
