Acknowledgments,Sự nhìn nhận
Anderson,Anderson.
Barbara,Barbara.
Bates,Bates.
Bert,Bert.
Brown,nâu
Chris,Chris.
Cornell,Cornell.
Countless,Vô số
Developmental,Phát triển
Erik,Erik.
Ernest,Ernest.
Friedman-Hill,Friedman-Hill.
Jeanne,Jeanne.
Jeff,Jeff.
Joel,Joel.
Johannes,Johannes.
Kenyon,Kenyon.
Mark,dấu
Matt,Matt.
Michael,Michael.
Murphy,Murphy.
Patti,Patti.
Pete,Pete.
Professor,Giáo sư
Scott,Scott.
Technical,Kỹ thuật
Wiley,Wiley.
adjusted,điều chỉnh
ago,trước đây
almost,hầu hết
army,quân đội
believed,tin
big,to
bounce,nảy
changed,đã thay đổi
co-author,đồng tác giả
constant,không thay đổi
contents,nội dung
contribution,sự đóng góp
could,có thể
curve,đường cong
decade,thập kỷ
dip,nhúng
education,giáo dục
encouraged,khuyến khích
errors,sai sót
ever,không bao giờ
excel,vượt trội
friend,bạn bè
gave,đã cho
guidance,sự hướng dẫn
hard,cứng
ideas,ý tưởng
including,kể cả
individuals,cá nhân
instilling,thấm nhuần
introduced,giới thiệu
invaluable,vô giá
knew,đã biết
knowing,hiểu biết
led,dẫn đầu
managed,quản lý
moderators,người điều hành
motivated,có động cơ
never,không bao giờ
numerous,nhiều
ones,những cái
others,khác
patience,kiên nhẫn
perpetually,vĩnh viễn
personally,cá nhân
pointed,nhọn
possible,khả thi
programmers,lập trình viên
publishing,xuất bản
ready,Sẵn sàng
remind,nhắc lại
reminders,lời nhắc nhở
retired,nghỉ hưu
robotics,người máy
sneak,đánh lén
someday,một ngày nào đó
sounding,âm thanh
subtle,tế nhị
table,bàn
teaching,giảng bài
toe,ngón chân
ton,tấn
ts,ts.
understanding,hiểu biết
warned,cảnh báo
whose,ai
without,không có
wrote,đã viết
