Chrome,Trình duyệt Chrome
Google,Google
Intel,Intel
Or,Hoặc là
Restart,Khởi động lại
XML,XML
allow,cho phép
bad,xấu
browse,duyệt qua
chose,đã chọn
clock,đồng hồ
configuring,cấu hình
corresponds,tương ứng
dark,tối
delete,xóa bỏ
desktop,máy tính để bàn
developers,các nhà phát triển
difference,Sự khác biệt
differences,sự khác biệt
downloaded,đã tải xuống
enhance,nâng cao
enterprise,xí nghiệp
false,sai
features,đặc trưng
folder,thư mục
font,nét chữ
guy,chàng
import,nhập khẩu
indentation,thụt vào trong
ins,trong
inside,phía trong
installations,cài đặt
intelligence,Sự thông minh
intelligent,thông minh
key,Chìa khóa
keyboard,bàn phím
links,liên kết
locate,định vị
mappings,ánh xạ
maps,bản đồ
mouse,chuột
navigate,điều hướng
personally,cá nhân
pick,hái
plugin,cắm vào
plus,thêm
prefer,thích hơn
preferences,sở thích
reason,lý do
remaining,còn lại
repositories,kho lưu trữ
restart,khởi động lại
robust,cường tráng
scheme,kế hoạch
select,lựa chọn
set,bộ
settings,cài đặt
shapes,hình dạng
shortcuts,các phím tắt
skip,nhảy
smaller,nhỏ hơn
tabs,các tab
tend,có xu hướng
theme,chủ đề
thousands,hàng ngàn
typed,đã đánh máy
ultimate,tối thượng
used,đã sử dụng
versions,phiên bản
whatsoever,bất cứ điều gì
works,làm
